Q (m3/s);Production (MWh);
0.0;0.00;
0.5;0.01;
1.0;0.02;
1.5;0.10;
2.0;0.23;
2.5;0.50;
3.0;0.85;
3.5;1.29;
4.0;1.81;
4.5;2.28;
5.0;2.81;
5.5;3.33;
6.0;3.90;
6.5;4.51;
7.0;5.16;
7.5;5.80;
8.0;6.47;
8.5;7.17;
9.0;7.91;
9.5;8.45;
10.0;9.00;
10.5;9.55;
11.0;10.10;
11.5;10.35;
12.0;10.58;
12.5;10.99;
13.0;11.39;
13.5;11.82;
14.0;12.25;
14.5;12.74;
15.0;13.23;
15.5;13.72;
16.0;14.21;
16.5;14.70;
17.0;15.20;
17.5;15.62;
18.0;16.04;
18.5;16.43;
19.0;16.82;
19.5;17.20;
20.0;17.57;
20.5;17.93;
21.0;18.28;
21.5;18.61;
22.0;18.94;
22.5;19.26;
23.0;19.57;
23.5;19.86;
24.0;20.15;
24.5;20.40;
25.0;20.64;
25.5;20.86;
26.0;21.09;
